Impact_category,New_code,Value,Name,Type
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",zuxlw9uwm1i9hiys04wyfmxivcm3tx50,0.0019491051969944054,BIOGAS_ATR,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",nggiehrce2mvmuth8nmg9kaevvrd8m1e,0.0,BIOGAS_ATR_CCS,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",nggiehrce2mvmuth8nmg9kaevvrd8m1e,1.8697198282787463e-07,BIOGAS_ATR_CCS,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",nggiehrce2mvmuth8nmg9kaevvrd8m1e,0.0019491226019349832,BIOGAS_ATR_CCS,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",w26bzli6dq58knhurxp2lop3nl57q4s3,0.000884704781209777,BIOGAS_BIOMETHANE,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",w26bzli6dq58knhurxp2lop3nl57q4s3,1.6121342224724068e-07,BIOGAS_BIOMETHANE,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",w26bzli6dq58knhurxp2lop3nl57q4s3,0.004207287707448249,BIOGAS_BIOMETHANE,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",4hhyhnwa16x2zxr25imceuznwkwi0jrc,8.590882606385574e-05,BIOGAS_SMR,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",4hhyhnwa16x2zxr25imceuznwkwi0jrc,3.721130686397713e-08,BIOGAS_SMR,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",4hhyhnwa16x2zxr25imceuznwkwi0jrc,0.0004161299112685191,BIOGAS_SMR,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",ifvk1dh68ezz0r7w8rmdhd45n5ptbogc,7.744684625892703e-05,BIOGAS_SMR_CCS,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",ifvk1dh68ezz0r7w8rmdhd45n5ptbogc,3.354600918048994e-08,BIOGAS_SMR_CCS,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",ifvk1dh68ezz0r7w8rmdhd45n5ptbogc,0.0003752131715008452,BIOGAS_SMR_CCS,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",ntn64rpneo745mvhc1eqmetxof6rills,0.0,BIOMASS_GAS_EF_H2,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",ntn64rpneo745mvhc1eqmetxof6rills,0.0,BIOMASS_GAS_EF_H2,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",ntn64rpneo745mvhc1eqmetxof6rills,0.0,BIOMASS_GAS_EF_H2,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",27hzeicra0ofzve8d82lu3e3zfoxufap,0.0,BIOMASS_GAS_EF_H2_CCS,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",27hzeicra0ofzve8d82lu3e3zfoxufap,0.0,BIOMASS_GAS_EF_H2_CCS,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",27hzeicra0ofzve8d82lu3e3zfoxufap,0.0,BIOMASS_GAS_EF_H2_CCS,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",30hilxuda91l4pyxcsqfe5qpnon6694x,0.0,BIOMASS_GAS_FB_H2,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",30hilxuda91l4pyxcsqfe5qpnon6694x,0.0,BIOMASS_GAS_FB_H2,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",30hilxuda91l4pyxcsqfe5qpnon6694x,0.0,BIOMASS_GAS_FB_H2,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",m2zpsnubuh4hkp94mo6o5c0fjlxnl185,0.0,BIOMASS_GAS_FB_H2_CCS,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",m2zpsnubuh4hkp94mo6o5c0fjlxnl185,0.0,BIOMASS_GAS_FB_H2_CCS,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",m2zpsnubuh4hkp94mo6o5c0fjlxnl185,0.0,BIOMASS_GAS_FB_H2_CCS,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",gdy3nzzvwvmwvnl4vulfp4ziis2i4q62,0.0031086428537064853,BUS_BIODIESEL_B100_SD,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",gdy3nzzvwvmwvnl4vulfp4ziis2i4q62,2.1110408379002865e-07,BUS_BIODIESEL_B100_SD,Operation
