Impact_category,New_code,Value,Name,Type
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",surpo7a5wd5543t400r29dtv1qqjhghu,898.5014125123613,BUS_CNG_SD,Construction
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",dvpsi2y76pk1ftvuntbicmj0bh2o5gwg,693.5823427942385,BUS_DIESEL_SD,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",dvpsi2y76pk1ftvuntbicmj0bh2o5gwg,0.005807433053564781,BUS_DIESEL_SD,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",dvpsi2y76pk1ftvuntbicmj0bh2o5gwg,884.9174201384667,BUS_DIESEL_SD,Construction
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",h3r4wq4g9in0e6vhs2bezdb9spj9kein,841.4363666266136,BUS_EV_SD,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",h3r4wq4g9in0e6vhs2bezdb9spj9kein,0.007323216976734772,BUS_EV_SD,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",h3r4wq4g9in0e6vhs2bezdb9spj9kein,1039.3802358467342,BUS_EV_SD,Construction
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",buof3slnqbfu5iq2cpe487p6jo911r0v,1071.493935217657,BUS_FC_H2_SD,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",buof3slnqbfu5iq2cpe487p6jo911r0v,0.01057175158641422,BUS_FC_H2_SD,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Total ecosystem quality')",buof3slnqbfu5iq2cpe487p6jo911r0v,2745.629651501196,BUS_FC_H2_SD,Construction
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",4dhbmsa4tj0sdl0dz2tyiwbshrkz9g2r,693.5823427942385,BUS_GASOLINE_SD,Construction
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Total human health')",4dhbmsa4tj0sdl0dz2tyiwbshrkz9g2r,0.005807433053564781,BUS_GASOLINE_SD,Construction
