Name,Type,Product,Activity,Location,Database,Current_code,New_code
PAFC,Construction,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,fd90a84b43ac47f8a6514fe4b397a81b,jjd99o9bzdhaknview44ffh2us6zkcyg
PAPER_MAKING,Construction,"paper mill, integrated","paper mill construction, integrated",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,dbf438a217731b81bce7c53462f42c9d,r4ug6olnufcje7gq1apykkswfy0yjwxj
PAPER_MAKING,Operation,"paper, newsprint","paper production, newsprint, recycled",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,8583581ade6e088eb4d13c4708f2b7cb,h07tym1u8w85eoom0mfs4eqnv77572up
PAPER_MAKING_HP,Construction,"paper mill, integrated","paper mill construction, integrated",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,dbf438a217731b81bce7c53462f42c9d,q8hvawdljpu6rn1rsrbx3r0t5cpm1i5n
PAPER_MAKING_HP,Operation,"paper, newsprint","paper production, newsprint, recycled",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,8583581ade6e088eb4d13c4708f2b7cb,f9paafynl8i03tek5lk1nzdinktsj0sw
PAPER_MAKING_HR,Construction,"paper mill, integrated","paper mill construction, integrated",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,dbf438a217731b81bce7c53462f42c9d,0oj0dq38k0fpbd3o1oj2zy4i2d4h8n3p
PAPER_MAKING_HR,Operation,"paper, newsprint","paper production, newsprint, recycled",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,8583581ade6e088eb4d13c4708f2b7cb,szpjopkzir4wqh87mwrel2iaoxpw5cko
PEMFC,Construction,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,fd90a84b43ac47f8a6514fe4b397a81b,uibvrf9oy4t0xjnzf5vfjwm6dz11satb
PEM_ELECTROLYSIS,Operation,"hydrogen, gaseous, 30 bar","hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,8ec1be94cf4f44438459546c425f006a,if32n5uk7d4tanrmxctoqmqp2jmshwj6
PEM_ELECTROLYSIS_PLANT,Construction,"electrolyzer, 1MWe, PEM, Balance of Plant","electrolyzer production, 1MWe, PEM, Balance of Plant",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6ccdf97c-f2d9-11ef-97e7-7cb566b53d2f,bfx6euuo1gsqbk3i1gf9vhwtth21tzy8
PEM_ELECTROLYSIS_PLANT_DECOM,Construction,"used fuel cell balance of plant, 1MWe, PEM","treatment of fuel cell balance of plant, 1MWe, PEM",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6ccdf97e-f2d9-11ef-bdf6-7cb566b53d2f,kzik9le99d72ton6z9hnkgkwcpm4t51t
PEM_ELECTROLYSIS_STACK,Construction,"electrolyzer, 1MWe, PEM, Stack","electrolyzer production, 1MWe, PEM, Stack",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6ccdf97b-f2d9-11ef-b481-7cb566b53d2f,fpqtoxcd6lrziy9q2yw0ffbkkv3mfkkb
