Name,Activity name,Activity code,Amount
DEC_DIRECT_ELEC,"market for electricity, low voltage",lln99t618ht4ad3pbeyajbz862n2k4u0,1.0
DEC_HP_ELEC,"heat production, air-water heat pump 10kW",8xvpb07y4yrbmtzp51c2ov03mug7bky7,1.0
DEC_THHP_GAS,"heat production, natural gas, at diffusion absorption heat pump 4kW, future",ei82uzhkhkr2d628qsigq99dq80xl6aj,1.0
DEEP_SALINE,"carbon dioxide compression, transport and storage",jn518mh1mwmsr6zb181u3phsth2rn4rm,1.0
DHN_BOILER_GAS,"heat production, natural gas, at boiler modulating >100kW",uy7t2b6gwkkdlhxc6zt3u0dzp1pwrqoa,1.0
DHN_BOILER_OIL,"heat production, light fuel oil, at industrial furnace 1MW",b7tubcwnrnbbp4erzbhjfy7r3i0gv70r,1.0
DHN_BOILER_WOOD,"heat production, wood chips from industry, at furnace 1000kW, state-of-the-art 2014",c1rid1mks7bo3x2ee2cmqdhbwere4wyx,1.0
DHN_COGEN_GAS,"heat and power co-generation, natural gas, 1MW electrical, lean burn",f1xdwwbdq8onyqejb6gdooca24ps4a9z,1.0
DHN_COGEN_WASTE,"treatment of spent anion exchange resin from potable water production, municipal incineration",oevrs13ypg9roi55h60dcylnaqaribmr,1.44992176893731e-06
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, laptop computer, municipal incineration",2vpln5p9fv32vo2njrln3w26d4xgu3dz,0.0002478552691769348
DHN_COGEN_WASTE,"treatment of waste cement-fibre slab, dismantled, municipal incineration",8fomuj3ac0lj8l1hqeael5jpgu9vlwy9,0.0006597139725959587
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from plywood production, municipal incineration",t0t9mmk73mf0mqrw682nfwd8t0j159nh,0.0002254450273321832
DHN_COGEN_WASTE,"treatment of waste rubber, unspecified, municipal incineration",a5mah64nwffru4on0pjimk26c5stkjsc,0.01062000304772941
DHN_COGEN_WASTE,"treatment of waste newspaper, municipal incineration",srq6nw4y0ymutqa2o4evy8x4i4m3qbcn,0.02776127715839601
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from LCD backlight production, municipal incineration",csr920kx1tuvt1hfd37a3tnskqfog4zq,9.797174095635677e-13
DHN_COGEN_WASTE,"treatment of municipal solid waste, municipal incineration",rkgrduozkmvnlmc1q9l4lo0up1tcpx8u,0.04342031299761565
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, desktop computer, municipal incineration",e27u70jdysupsq6o8snokok7s1f54yta,0.0008487718060174665
DHN_COGEN_WASTE,"treatment of spent cation exchange resin from potable water production, municipal incineration",izpbq7q6fcwq45b240ctxr43prfndhed,1.108255152108245e-07
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, rainwater mineral oil storage, municipal incineration",rendxu3ob20bpbqlwz8txjriv2204qkk,6.165897727942606e-15
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from medium density board production, municipal incineration",p7x6377ki3cv3asv563yfmfb52kc71hq,3.325775987079078e-06
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from LCD production, municipal incineration",yxk6rd38stt7zgmduqxltlmws4oxjdel,4.65802991646643e-12
DHN_COGEN_WASTE,"treatment of waste wood pole, chrome preserved, municipal incineration",s8yc42ktd3d7bm7xeazzrnuprviqukqc,0.00204100847421573
DHN_COGEN_WASTE,"treatment of waste textile, soiled, municipal incineration",wqxtz05n5e8tzmn3izgq2h0n8okp4b3u,0.00926615080762631
DHN_COGEN_WASTE,"treatment of waste plastic, mixture, municipal incineration",djum37kvyuu239hn4wdks4ylo4gbpeau,0.07555506356080281
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, heat carrier liquid, 40% C3H8O2, municipal incineration",0wz1s7lu4snluh4r0klr0ggetw5t6qb0,8.796603986101573e-08
DHN_COGEN_WASTE,"treatment of biowaste, municipal incineration",z16q3xgs40fvsdm0gkodrdptiiisxlye,0.05903086183473824
DHN_COGEN_WASTE,"treatment of waste rubber, unspecified, municipal incineration",odbt0pxeqa89klzkhi4qmnulfj2l71wi,0.00597053940406653
DHN_COGEN_WASTE,"treatment of raw sewage sludge, municipal incineration",b1sidzgszf7yalg66kz6or3g9env9x1g,0.001997262697870713
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration",fh7apmtrgtbolrsvtia0i43f38ueem4i,1.359335863373781e-06
DHN_COGEN_WASTE,"treatment of waste emulsion paint, municipal incineration",e0kydz3zjr5m8v0ogl70j9uocr5o15jc,0.004676113974171375
DHN_COGEN_WASTE,"treatment of waste polyvinylchloride, municipal incineration",c0cwjah2xihrxbyb4dmn4oysqkia5vdb,0.006160978774061147
DHN_COGEN_WASTE,"treatment of residue from shredder fraction from manual dismantling, municipal incineration",ujo55axj8b5zuexqq6ba0tesq2pqybwe,0.003339376199807556
DHN_COGEN_WASTE,"treatment of waste polypropylene, municipal incineration",uf9lfnzess1et1g6yupavwmr3yzh8o7c,0.02401089815079357
DHN_COGEN_WASTE,"treatment of waste polyvinylfluoride, municipal incineration",q1r40jt8ln99wu27rcr69h40rx0fkkdv,0.0007900089519034191
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from concrete production, municipal incineration",gctjv6plye4a12fqy8kx9sbp79lnbftg,2.034467379614961e-09
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, IT accessory, municipal incineration",snpwmnulsbv2p7rh9e94lvpkua38xiip,0.0003753664263533487
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from CRT production, municipal incineration",dmq0olpj6iypfqsyg0y3729c1a7adnmz,9.206405630948103e-15
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration",i5vvs1ocr52nz3cl47p17dodf45msiot,1.154013357849329e-07
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from maize starch production, municipal incineration",r9u0rdzczzcnybrxs27l9cfmhoerbysy,0.0005915187340662672
DHN_COGEN_WASTE,"treatment of residue from mechanical treatment, industrial device, municipal incineration",4swcbstz34g9kv32rg1axu0hsdvggf7x,0.001045575927107973
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT[R], WW from anaerobic digestion of whey, municipal incineration",sgfvd30xl9edt8682tdwo8cmv4soykv9,0.007028617596899336
DHN_COGEN_WASTE,"treatment of waste wire plastic, municipal incineration",sg6wrlk6sboqnebv0je5aimdot1sv9sp,0.0002433077833355358
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from hard fibreboard production, municipal incineration",muyv1kdebgq90ewdxlsy9cz0zfqrsqnm,4.327561580329696e-06
