Name,Flow,Amount
TRUCK_SH_HY_DIESEL_MD,DIESEL,1
TRUCK_SH_HY_DIESEL_SD,DIESEL,1
DIRECT_USAGE,ELECTRICITY_EHV,2
PAPER_MAKING,ELECTRICITY_EHV,7
PAPER_MAKING_HR,ELECTRICITY_EHV,7
STEEL_MAKING,ELECTRICITY_EHV,1
TRAFO_EH,ELECTRICITY_EHV,1
TRAIN_ELEC_ELD,ELECTRICITY_EHV,45
TRAIN_ELEC_LD,ELECTRICITY_EHV,45
TRAIN_FREIGHT_ELEC_ELD,ELECTRICITY_EHV,143
TRAIN_FREIGHT_ELEC_LD,ELECTRICITY_EHV,143
ALKALINE_ELECTROLYSIS,ELECTRICITY_HV,1
AL_MAKING,ELECTRICITY_HV,1
AL_MAKING_HR,ELECTRICITY_HV,1
COMMUTER_RAIL_ELEC_MD,ELECTRICITY_HV,1
IND_DIRECT_ELEC,ELECTRICITY_HV,1
PAPER_MAKING_HP,ELECTRICITY_HV,7
PEM_ELECTROLYSIS,ELECTRICITY_HV,1
SOEC_ELECTROLYSIS,ELECTRICITY_HV,1
STEEL_MAKING_HR,ELECTRICITY_HV,1
TRAFO_HE,ELECTRICITY_HV,1
TRAFO_HM,ELECTRICITY_HV,1
TRAMWAY_SD,ELECTRICITY_HV,9
DEC_DIRECT_ELEC,ELECTRICITY_LV,1
DEC_HP_ELEC,ELECTRICITY_LV,7
TRAFO_LM,ELECTRICITY_LV,1
BIOGAS_BIOMETHANE,ELECTRICITY_MV,1
BUS_EV_SD,ELECTRICITY_MV,1
CAR_EV_ELD,ELECTRICITY_MV,1
CAR_EV_LD,ELECTRICITY_MV,1
CAR_EV_MD,ELECTRICITY_MV,1
CAR_EV_SD,ELECTRICITY_MV,1
CAR_PHEV_ELD,ELECTRICITY_MV,1
CAR_PHEV_LD,ELECTRICITY_MV,1
CAR_PHEV_MD,ELECTRICITY_MV,1
CAR_PHEV_SD,ELECTRICITY_MV,1
CEMENT_PROD,ELECTRICITY_MV,1
CEMENT_PROD_HP,ELECTRICITY_MV,1
COACH_EV_ELD,ELECTRICITY_MV,1
COACH_EV_LD,ELECTRICITY_MV,1
COACH_EV_MD,ELECTRICITY_MV,1
DAC_HT,ELECTRICITY_MV,1
DAC_LT,ELECTRICITY_MV,1
DEEP_SALINE,ELECTRICITY_MV,2
DHN_HP_ELEC,ELECTRICITY_MV,7
DOGR,ELECTRICITY_MV,2
EOR,ELECTRICITY_MV,2
FOOD_PROD,ELECTRICITY_MV,9
FOOD_PROD_HP,ELECTRICITY_MV,9
FOOD_PROD_HR,ELECTRICITY_MV,9
FT,ELECTRICITY_MV,1
GASIFICATION_H2,ELECTRICITY_MV,1
IND_HP_ELEC,ELECTRICITY_MV,7
LCV_EV_MD,ELECTRICITY_MV,1
LCV_EV_SD,ELECTRICITY_MV,1
LCV_PHEV_DIESEL_MD,ELECTRICITY_MV,1
LCV_PHEV_DIESEL_SD,ELECTRICITY_MV,1
METHANOL_FT,ELECTRICITY_MV,9
MINES_STORAGE,ELECTRICITY_MV,2
NG_COMP_HE,ELECTRICITY_MV,1
NG_COMP_LM,ELECTRICITY_MV,1
SCHOOLBUS_EV_SD,ELECTRICITY_MV,1
SEMI_LH_EV_ELD,ELECTRICITY_MV,1
SEMI_LH_EV_LD,ELECTRICITY_MV,1
SEMI_SH_EV_MD,ELECTRICITY_MV,1
STEEL_MAKING_HP,ELECTRICITY_MV,1
SUV_EV_ELD,ELECTRICITY_MV,1
SUV_EV_LD,ELECTRICITY_MV,1
SUV_EV_MD,ELECTRICITY_MV,1
SUV_EV_SD,ELECTRICITY_MV,1
SUV_PHEV_GASOLINE_ELD,ELECTRICITY_MV,1
SUV_PHEV_GASOLINE_LD,ELECTRICITY_MV,1
SUV_PHEV_GASOLINE_MD,ELECTRICITY_MV,1
SUV_PHEV_GASOLINE_SD,ELECTRICITY_MV,1
TRAFO_MH,ELECTRICITY_MV,1
TRAFO_ML,ELECTRICITY_MV,1
TRUCK_LH_EV_LD,ELECTRICITY_MV,1
TRUCK_SH_EV_MD,ELECTRICITY_MV,1
TRUCK_SH_EV_SD,ELECTRICITY_MV,1
UNMINEABLE_COAL_SEAM,ELECTRICITY_MV,2
BUS_GASOLINE_SD,GASOLINE,1
CAR_ETOH_E10_ELD,GASOLINE,1
CAR_ETOH_E10_LD,GASOLINE,1
CAR_ETOH_E10_MD,GASOLINE,1
CAR_ETOH_E10_SD,GASOLINE,1
CAR_ETOH_E85_ELD,GASOLINE,1
CAR_ETOH_E85_LD,GASOLINE,1
CAR_ETOH_E85_MD,GASOLINE,1
CAR_ETOH_E85_SD,GASOLINE,1
CAR_GASOLINE_ELD,GASOLINE,1
CAR_GASOLINE_LD,GASOLINE,1
CAR_GASOLINE_MD,GASOLINE,1
CAR_GASOLINE_SD,GASOLINE,1
CAR_HEV_ELD,GASOLINE,1
CAR_HEV_LD,GASOLINE,1
CAR_HEV_MD,GASOLINE,1
CAR_HEV_SD,GASOLINE,1
CAR_MEOH_ELD,GASOLINE,1
CAR_MEOH_LD,GASOLINE,1
CAR_MEOH_MD,GASOLINE,1
CAR_MEOH_SD,GASOLINE,1
CAR_PHEV_ELD,GASOLINE,1
CAR_PHEV_LD,GASOLINE,1
CAR_PHEV_MD,GASOLINE,1
