Name,Product,Activity,Location,Database,Code,Amount,Unit,Removed flow product,Removed flow activity,Removed flow location,Removed flow database,Removed flow code
AFC,"electricity, from residential heating system","AFC, Operation",CA-QC,EnergyScope_CA-QC_2020,p67b1cd6zd1c3g15flokmdc8w5aw305h,1.601596290297917e-05,unit,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,fd90a84b43ac47f8a6514fe4b397a81b
AFC,"electricity, from residential heating system","AFC, Operation",CA-QC,EnergyScope_CA-QC_2020,p67b1cd6zd1c3g15flokmdc8w5aw305h,0.0587715031124396,kilogram,"hydrogen, gaseous, from pipeline","hydrogen supply, distributed by pipeline",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,df66c96fd6f34992a123441dd0bd1ff2
ALKALINE_ELECTROLYSIS,"hydrogen, gaseous, 20 bar","ALKALINE_ELECTROLYSIS, Operation",CA-QC,EnergyScope_CA-QC_2020,qs8ngdsyg0bnex0q70ix24k2jw9ag5xk,2.3478587528174306e-07,unit,"electrolyzer, 1MWe, AEC, Balance of Plant","electrolyzer production, 1MWe, AEC, Balance of Plant",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6ccd29ba-f2d9-11ef-bdfb-7cb566b53d2f
ALKALINE_ELECTROLYSIS,"hydrogen, gaseous, 20 bar","ALKALINE_ELECTROLYSIS, Operation",CA-QC,EnergyScope_CA-QC_2020,qs8ngdsyg0bnex0q70ix24k2jw9ag5xk,9.391435011269722e-07,unit,"electrolyzer, 1MWe, AEC, Stack","electrolyzer production, 1MWe, AEC, Stack",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6cccbf90-f2d9-11ef-af95-7cb566b53d2f
ALKALINE_ELECTROLYSIS,"hydrogen, gaseous, 20 bar","ALKALINE_ELECTROLYSIS, Operation",CA-QC,EnergyScope_CA-QC_2020,qs8ngdsyg0bnex0q70ix24k2jw9ag5xk,51.8,kilowatt hour,"electricity, low voltage","market group for electricity, low voltage",CA,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,b5f117934b9b8b3cb69a359536987fc0
ALKALINE_ELECTROLYSIS,"hydrogen, gaseous, 20 bar","ALKALINE_ELECTROLYSIS, Operation",CA-QC,EnergyScope_CA-QC_2020,qs8ngdsyg0bnex0q70ix24k2jw9ag5xk,-2.3478587528174306e-07,unit,"used fuel cell balance of plant, 1MWe, AEC","treatment of fuel cell balance of plant, 1MWe, AEC",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6ccd5bab-f2d9-11ef-bc6b-7cb566b53d2f
ALKALINE_ELECTROLYSIS,"hydrogen, gaseous, 20 bar","ALKALINE_ELECTROLYSIS, Operation",CA-QC,EnergyScope_CA-QC_2020,qs8ngdsyg0bnex0q70ix24k2jw9ag5xk,-9.391435011269722e-07,unit,"used fuel cell stack, 1MWe, AEC","treatment of fuel cell stack, 1MWe, AEC",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,6ccd29bb-f2d9-11ef-ac36-7cb566b53d2f
AL_MAKING,"aluminium, primary, ingot","AL_MAKING, Operation",CA,EnergyScope_CA-QC_2020,a3ne0ahddnug5r5eui0ikf1af0a3aihp,1.54e-10,unit,aluminium casting facility,market for aluminium casting facility,GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,bbdf0698409aa183ba5e87f2c8005833
AL_MAKING,"aluminium, primary, ingot","AL_MAKING, Operation",CA,EnergyScope_CA-QC_2020,a3ne0ahddnug5r5eui0ikf1af0a3aihp,0.03203,kilowatt hour,"electricity, medium voltage, aluminium industry","market for electricity, medium voltage, aluminium industry",CA,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,c9cdb0d54c1ce5ce622200e662aa631f
AL_MAKING,"aluminium, primary, ingot","AL_MAKING, Operation",CA,EnergyScope_CA-QC_2020,a3ne0ahddnug5r5eui0ikf1af0a3aihp,0.208836657169991,megajoule,"heat, district or industrial, other than natural gas","heat production, light fuel oil, at industrial furnace 1MW",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,55d5b0ba25bd44fd83fb2b586924162d
AL_MAKING,"aluminium, primary, ingot","AL_MAKING, Operation",CA,EnergyScope_CA-QC_2020,a3ne0ahddnug5r5eui0ikf1af0a3aihp,0.344176923076923,megajoule,"heat, district or industrial, natural gas","market for heat, district or industrial, natural gas",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,24d3ea8501b34ed5a5af5a0a4c97a311
AL_MAKING_HR,"aluminium, primary, ingot","AL_MAKING_HR, Operation",CA,EnergyScope_CA-QC_2020,wq7r4yf2pxo3jj0engfmsj8cfwv5lgs9,1.54e-10,unit,aluminium casting facility,market for aluminium casting facility,GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,bbdf0698409aa183ba5e87f2c8005833
AL_MAKING_HR,"aluminium, primary, ingot","AL_MAKING_HR, Operation",CA,EnergyScope_CA-QC_2020,wq7r4yf2pxo3jj0engfmsj8cfwv5lgs9,0.03203,kilowatt hour,"electricity, medium voltage, aluminium industry","market for electricity, medium voltage, aluminium industry",CA,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,c9cdb0d54c1ce5ce622200e662aa631f
AL_MAKING_HR,"aluminium, primary, ingot","AL_MAKING_HR, Operation",CA,EnergyScope_CA-QC_2020,wq7r4yf2pxo3jj0engfmsj8cfwv5lgs9,0.208836657169991,megajoule,"heat, district or industrial, other than natural gas","heat production, light fuel oil, at industrial furnace 1MW",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,55d5b0ba25bd44fd83fb2b586924162d
AL_MAKING_HR,"aluminium, primary, ingot","AL_MAKING_HR, Operation",CA,EnergyScope_CA-QC_2020,wq7r4yf2pxo3jj0engfmsj8cfwv5lgs9,0.344176923076923,megajoule,"heat, district or industrial, natural gas","market for heat, district or industrial, natural gas",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,24d3ea8501b34ed5a5af5a0a4c97a311
AN_DIG,biogas,"AN_DIG, Operation",CA-QC,EnergyScope_CA-QC_2020,tgo4v398aojiwt3nbq41hqyzo7rcxw0y,2.8600029991482477e-07,unit,"anaerobic digestion plant, agriculture, with methane recovery","market for anaerobic digestion plant, agriculture, with methane recovery",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,176473e3a20f879fad49470b572bcbb4
AN_DIG,biogas,"AN_DIG, Operation",CA-QC,EnergyScope_CA-QC_2020,tgo4v398aojiwt3nbq41hqyzo7rcxw0y,20.451988955925916,kilogram,"manure, liquid, cattle","market for manure, liquid, cattle",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized_wo_bg,1cdd23b0dae266a33b003af1f3ca9543
