Name,Type,Product,Activity,Location,Database,Current_code,New_code
AFC,Construction,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,aa09538963d24f148e6f3b36016ee751,n8j4met6fwxbhxpov0cwmi973khi2e4a
AFC,Operation,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid",CH,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,781059fe941643fe907e865ce9663c57,rpml5zd2bwrl9dibwne5agk9glq8qo8q
ALKALINE_ELECTROLYSIS,Operation,"hydrogen, gaseous, 20 bar","hydrogen production, gaseous, 20 bar, from AEC electrolysis, from grid electricity",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,9351f9408e8c42af9f70858efcc4fe9c,xcqdell9mooqy41yst5pz0j21i3u05lo
ALKALINE_ELECTROLYSIS_PLANT,Construction,"electrolyzer, 1MWe, AEC, Balance of Plant","electrolyzer production, 1MWe, AEC, Balance of Plant",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,5563ccfb-b875-11ef-aba6-7cb566b53d2f,rge8ouohuzvwyqgb2i9enoycz3naug45
ALKALINE_ELECTROLYSIS_PLANT_DECOM,Construction,"used fuel cell balance of plant, 1MWe, AEC","treatment of fuel cell balance of plant, 1MWe, AEC",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,5563ccfd-b875-11ef-b1bb-7cb566b53d2f,6khz5l5w3s5uln5n1q9pcleeu8s1cjj1
ALKALINE_ELECTROLYSIS_STACK,Construction,"electrolyzer, 1MWe, AEC, Stack","electrolyzer production, 1MWe, AEC, Stack",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,5563ccfa-b875-11ef-acbc-7cb566b53d2f,e3dpbqfl4ecfbz5g3oollnv2p5xi0b00
ALKALINE_ELECTROLYSIS_STACK_DECOM,Construction,"used fuel cell stack, 1MWe, AEC","treatment of fuel cell stack, 1MWe, AEC",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,5563ccfc-b875-11ef-89da-7cb566b53d2f,38paxcaufjwzzfvzkc86z75x6rtxj0o9
AL_MAKING,Construction,aluminium casting facility,aluminium casting facility construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,355da328ce48c041ad7ade23bc3c6c5b,5tbeonz237e01h35yonzzbvmsdyhjgys
AL_MAKING,Operation,"aluminium, primary, ingot","aluminium production, primary, ingot",CA,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,0abaefd454696b4566e1c589a2671c82,0futp2mwqi4qb5bwhcwk1idz0bsx92be
AL_MAKING_HR,Construction,aluminium casting facility,aluminium casting facility construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,355da328ce48c041ad7ade23bc3c6c5b,dfp04bb6sssa2lqevfhm0qj0e7zxm19b
AL_MAKING_HR,Operation,"aluminium, primary, ingot","aluminium production, primary, ingot",CA,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,0abaefd454696b4566e1c589a2671c82,tlodmd5rwux2p5xbu2j2cyivxuzrvlm4
AN_DIG,Operation,biogas,anaerobic digestion of manure,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,c663a0b953a5182e7596fac6f8538843,wa9sub6fwrhedftw7u3wc5skaebe5ctd
AN_DIG,Construction,"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,04a5812be0e66793ff1df959f2a41f56,gn4dw9lit8zh52w5rx32u7iu50l57l32
AN_DIG_SI,Operation,biogas,anaerobic digestion of manure,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,c663a0b953a5182e7596fac6f8538843,cyrfol2ln40u11mgeb8sp4tdd3ys2p2c
AN_DIG_SI_COGEN,Construction,"heat and power co-generation unit, 160kW electrical, common components for heat+electricity","heat and power co-generation unit construction, 160kW electrical, common components for heat+electricity",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,20cb043006cbe008020dade37ca3aa17,ql44rwt8fycevca85i96wdrono0awnij
AN_DIG_SI_PLANT,Construction,"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,04a5812be0e66793ff1df959f2a41f56,zmflq4fz8id1lojczv3xp3gqzvy4l7vq
ATR,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,55616ac8-b875-11ef-bd0c-7cb566b53d2f,6mw1wa06vt69temb3kcoxjutfrgmucev
ATR_CCS,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, with CCS",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,55616acb-b875-11ef-8777-7cb566b53d2f,zi3axtte97x8e3j4i4n5fxo3rssvrn08
ATR_CCS_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,625bdaed6924e06524787bd5a63474cb,sr6ji1kgbxtoc4aa5694jggx0pdq1i1g
ATR_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,11f54712be0fddb1ec05efc53d62a839,a9br10t0k3qlv76kzh45bbmsydirddlk
ATR_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,625bdaed6924e06524787bd5a63474cb,v2q5j5c9p9ofhk519tt3d2iblpwycui2
ATR_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,11f54712be0fddb1ec05efc53d62a839,sgfsukzypk5mvtlmnne48g4syj3y8qg2
BATTERY,Construction,"battery, Li-ion, LiMn2O4, rechargeable, prismatic","market for battery, Li-ion, LiMn2O4, rechargeable, prismatic",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,3c82a8f9583f736f774d2e8c05da1705,ykgcmbbbecbbg5vib0prhi1sm7j99wsp
BIOGAS_ATR,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, from biomethane",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,55616ac9-b875-11ef-88c0-7cb566b53d2f,o7ipqe6k78pj9qr880qg3ftsczrusj95
BIOGAS_ATR_CCS,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, from biomethane, with CCS",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,55616aca-b875-11ef-864e-7cb566b53d2f,kn43m8qyd8tblmxtwp92c702gaw7z7cy
BIOGAS_ATR_CCS_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,625bdaed6924e06524787bd5a63474cb,j1yhg0il2gi4n7wojp7mzqr2r4bq7t6r
BIOGAS_ATR_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,11f54712be0fddb1ec05efc53d62a839,gw1s50q01ijq74gc267gxl5rap37nxk2
BIOGAS_ATR_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,625bdaed6924e06524787bd5a63474cb,zqtnyki06g6wei3yp8nhbkyxryaq3lv7
BIOGAS_ATR_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,11f54712be0fddb1ec05efc53d62a839,q4i3ws8vixsfqlvol6w7xnmnkk8n5h59
BIOGAS_BIOMETHANE,Construction,"chemical factory, organics","market for chemical factory, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,0caadf825196adf0845e429dd2470608,at8r90pn2n3cw32svycg1n0grr5mws0h
BIOGAS_BIOMETHANE,Operation,"biomethane, from biogas upgrading, using amine scrubbing","biomethane production, from biogas upgrading, using amine scrubbing",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,ae0404f21c124add86e0da5c398d262b,nlrwrdsmixp3tcl5ka83o95xx0wu1qdn
BIOGAS_SMR,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming, from biomethane",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,3c867632303046f9a974450e57549c1b,vic337fize6rqqdgr27jcdztcd03jmtg
BIOGAS_SMR_CCS,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming, from biomethane, with CCS",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,3997a848b90b4375b197509ad4bead44,a2dgih2879j2bosgzaeuan132pdqxjcv
BIOGAS_SMR_CCS_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,625bdaed6924e06524787bd5a63474cb,do75oswv8rtbu55q1anavaasa5i70r09
BIOGAS_SMR_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,11f54712be0fddb1ec05efc53d62a839,wz4rjkbyx2mgjx6981krzochteh8747n
BIOGAS_SMR_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,625bdaed6924e06524787bd5a63474cb,yunb1rcn36ycrwipb13g9elvlk7dhx64
BIOGAS_SMR_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,11f54712be0fddb1ec05efc53d62a839,c2p7lyt5ajshd7wvwx1tt6u72dn6b6pp
BIOMASS_GAS_EF_H2,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,0775be8db7154f6587738c6f867eafcc,kbcuipvusw75hf6crbl8xs97af6uippg
BIOMASS_GAS_EF_H2_CCS,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,48291373821646daa6b81a7897332411,neq12nbrj8t0950nwvib7ldkt0ycwkok
BIOMASS_GAS_EF_H2_CCS_PLANT,Construction,synthetic gas factory,synthetic gas factory construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,bb25d7d5a910c82b64f71d8fd879058b,h7pdc62o96qsceo6nxdogd29qhzh2nit
BIOMASS_GAS_EF_H2_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,11f54712be0fddb1ec05efc53d62a839,3108sxtsw8b3i7x2k60fuvnqr2n661ew
BIOMASS_GAS_EF_H2_PLANT,Construction,synthetic gas factory,synthetic gas factory construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,bb25d7d5a910c82b64f71d8fd879058b,k89kxrd1224q25cu2dqc0vbde1ioyk92
BIOMASS_GAS_EF_H2_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,11f54712be0fddb1ec05efc53d62a839,w0dqf7h0n9h4pggv9zl9kxu5ubucpiq6
BIOMASS_GAS_FB_H2,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,0775be8db7154f6587738c6f867eafcc,axp0ypboinzju9ytn2b3utafo65bcmke
BIOMASS_GAS_FB_H2_CCS,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant",CAN,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,48291373821646daa6b81a7897332411,kl82n9evijd7w3ezez6o0ehi7gogx4hm
BIOMASS_GAS_FB_H2_CCS_PLANT,Construction,synthetic gas factory,synthetic gas factory construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,bb25d7d5a910c82b64f71d8fd879058b,ajsu7o60abq5luss6zuzopzncmaurxbv
BIOMASS_GAS_FB_H2_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,11f54712be0fddb1ec05efc53d62a839,l6o6yl5xfhgeyjs18rzywj261rmpnxde
BIOMASS_GAS_FB_H2_PLANT,Construction,synthetic gas factory,synthetic gas factory construction,RoW,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,bb25d7d5a910c82b64f71d8fd879058b,xtyhssgwvhodmj09p54umwpi4m3btpry
BIOMASS_GAS_FB_H2_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,11f54712be0fddb1ec05efc53d62a839,djyq2f92e0hhira4pkbj5vkznnhkk29c
BUS_BIODIESEL_B100_SD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,1510a043aac64a1d87b8c793a6d93e89,p8wkrtydldcmszir1wtewiuvufa3hl59
BUS_BIODIESEL_B100_SD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,b5903f356af847d982572beeda9064b7,9upqhl51vu1cw74a7f9sn7upr8a0rr6y
BUS_BIODIESEL_B20_SD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,1510a043aac64a1d87b8c793a6d93e89,w1cxo8v6frkpy42scygk3doz82oqww9v
BUS_BIODIESEL_B20_SD,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,b5903f356af847d982572beeda9064b7,02zp3p8hoc4otmpjoroo0kfuqogyreor
BUS_CNG_SD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,45161dec98684d15a305e943817eb7dd,c5m812s0m2307dhj36qdzkxgpur3n3do
BUS_CNG_SD,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,df10ecab3c8b4542b24417509d0c41ff,374vduhvjp2xwzv0hl95sethpgb8r9yi
BUS_DIESEL_SD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m double deck urban bus, EURO-VI",RER,ecoinvent_cutoff_3.10.1_image_SSP2-Base_2020+truck_carculator regionalized,1510a043aac64a1d87b8c793a6d93e89,uzehaoyclnvq8dvk8rqa0pfvp7zyl4c1
