Impact_category,New_code,Value,Name,Type
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Climate change, ecosystem quality, long term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Climate change, ecosystem quality, short term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Climate change, human health, long term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Climate change, human health, short term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, long term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Climate change, short term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Fisheries impact')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Fossil and nuclear energy use')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Freshwater acidification')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Freshwater acidification')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Freshwater ecotoxicity')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Freshwater ecotoxicity, long term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Freshwater ecotoxicity, short term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Freshwater eutrophication')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Freshwater eutrophication')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Human toxicity cancer')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Human toxicity cancer, long term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Human toxicity cancer, short term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Human toxicity non-cancer')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Human toxicity non-cancer, long term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Human toxicity non-cancer, short term')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Midpoint 2.1_regionalized for ecoinvent v3.10', 'Midpoint', 'Ionizing radiations')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Ionizing radiations, ecosystem quality')",69ykpctai6vyn5zh8c51hg9b6w6t58j8,0.0,AFC,Operation
