Name,Activity name,Activity code,Amount
CAR_CNG_MD,"transport, passenger car, compressed gas, Medium, EURO-6ab",k8nqsmaibpq4dqefpjexau8jtiy0yv0b,1.0
CAR_CNG_SD,"transport, passenger car, compressed gas, Medium, EURO-6ab",qnreibkbj8qdbbqfu3hg5t4cf06yhjyk,1.0
CAR_DIESEL_ELD,"transport, passenger car, diesel, Medium, EURO-6ab",pik6qazdsszbq3x5x28y1m30c4nt8zl4,1.0
CAR_DIESEL_LD,"transport, passenger car, diesel, Medium, EURO-6ab",chrs2m8f93bhbkewto0ubmz9v0dplpjl,1.0
CAR_DIESEL_MD,"transport, passenger car, diesel, Medium, EURO-6ab",l3nmfb7ee3thsx9qiqs2nyadk44toayg,1.0
CAR_DIESEL_SD,"transport, passenger car, diesel, Medium, EURO-6ab",lxpahxvkl83vbnib0hdejmv32zkcmq3h,1.0
CAR_ETOH_E10_ELD,"transport, passenger car, gasoline, Medium, EURO-6ab",sypud3vj17oyzxgwl3fexn6kot2p1idn,1.0
CAR_ETOH_E10_LD,"transport, passenger car, gasoline, Medium, EURO-6ab",tlhar6wfauepw77srse0bw5zzk1hy7e5,1.0
CAR_ETOH_E10_MD,"transport, passenger car, gasoline, Medium, EURO-6ab",k5qumzcmvaler50bu4i0zq9lykbbzx4h,1.0
CAR_ETOH_E10_SD,"transport, passenger car, gasoline, Medium, EURO-6ab",v02jde90tywsbfo6i7u1lr05j0fj9jlg,1.0
CAR_ETOH_E85_ELD,"transport, passenger car, gasoline, Medium, EURO-6ab",fn332cktthzm7zui0045kw1vyln8tyl5,1.0
CAR_ETOH_E85_LD,"transport, passenger car, gasoline, Medium, EURO-6ab",yeu8sjd5zjltuogsxl64xivp06nr5xfq,1.0
CAR_ETOH_E85_MD,"transport, passenger car, gasoline, Medium, EURO-6ab",pqcev8pmrx96zz9galzqbfyr94m11utb,1.0
CAR_ETOH_E85_SD,"transport, passenger car, gasoline, Medium, EURO-6ab",tm0fj2jqlghkdl3jfehxfdnk34x8zbfo,1.0
CAR_EV_ELD,"transport, passenger car, battery electric, Medium",ievpbvghdztur4f32xpddam10rv1sx5t,1.0
CAR_EV_LD,"transport, passenger car, battery electric, Medium",3lop05fjyhf0q2lvvxfsipk3gcjx3xi9,1.0
CAR_EV_MD,"transport, passenger car, battery electric, Medium",lrp3d902s6dgefbd3tcxroh6g4n6rjwt,1.0
CAR_EV_SD,"transport, passenger car, battery electric, Medium",0h26kdnt11rbl6qhiiwdb4c7abadyyd1,1.0
CAR_FC_H2_ELD,"transport, passenger car, fuel cell electric, Medium",smy9ps4wvi3fxhnzol55bwbn6w0ebakk,1.0
CAR_FC_H2_LD,"transport, passenger car, fuel cell electric, Medium",ctgory97qckxnn0i1uhe38exivvaivri,1.0
CAR_FC_H2_MD,"transport, passenger car, fuel cell electric, Medium",338waleu6q8wrjfhjek9fzcbzgnlkl73,1.0
CAR_FC_H2_SD,"transport, passenger car, fuel cell electric, Medium",xawvq6pi5g5hka6uvgwa0kny6t42nkzi,1.0
CAR_GASOLINE_ELD,"transport, passenger car, gasoline, Medium, EURO-6ab",mz1ujr3q5yh1nhqjopjocfl8ixgcz58s,1.0
CAR_GASOLINE_LD,"transport, passenger car, gasoline, Medium, EURO-6ab",2ipvel3ff2khasac5uzkfay01ra4qkx2,1.0
CAR_GASOLINE_MD,"transport, passenger car, gasoline, Medium, EURO-6ab",1qjl5muthgvk1tmimfcqg7ixn2vkct9m,1.0
CAR_GASOLINE_SD,"transport, passenger car, gasoline, Medium, EURO-6ab",1ixinbz5wgyp2f583s9so6c0t3rx02x8,1.0
CAR_HEV_ELD,"transport, passenger car, gasoline hybrid, Medium, EURO-6ab",ve4bvu4cezt1n2eqxwbomstc8gfacetw,1.0
CAR_HEV_LD,"transport, passenger car, gasoline hybrid, Medium, EURO-6ab",a4vo85256bhlgrtgoimfsqtatvtmu7j8,1.0
CAR_HEV_MD,"transport, passenger car, gasoline hybrid, Medium, EURO-6ab",funorbo43n5d9imvaqmajdhu1as9lqkw,1.0
CAR_HEV_SD,"transport, passenger car, gasoline hybrid, Medium, EURO-6ab",p90qnof7trqiyyzc1boqy10om7y14d46,1.0
CAR_MEOH_ELD,"transport, passenger car, gasoline, Medium, EURO-6ab",d0nvo68fdpk95uuwa7crbtosx9bhwvql,1.0
CAR_MEOH_LD,"transport, passenger car, gasoline, Medium, EURO-6ab",1sdh8w5t2nhr7o81yrrjz50melu28bwq,1.0
CAR_MEOH_MD,"transport, passenger car, gasoline, Medium, EURO-6ab",j8i5w8bnbi4iy54umyj9ftfkvy7p62sq,1.0
CAR_MEOH_SD,"transport, passenger car, gasoline, Medium, EURO-6ab",ni20ndkjg36tqw4ptm9713h6i581vgqc,1.0
CAR_PHEV_ELD,"transport, passenger car, plugin gasoline hybrid, Medium, EURO-6ab",i2so05nm33qkl3bwdtmna621b5cnae28,1.0
CAR_PHEV_LD,"transport, passenger car, plugin gasoline hybrid, Medium, EURO-6ab",2n55gjuj16d4vbbwoi9sxiq557ioaj0b,1.0
CAR_PHEV_MD,"transport, passenger car, plugin gasoline hybrid, Medium, EURO-6ab",jsysyjjm37sfbnoxgs2ja1ftn1ljq4fw,1.0
CAR_PHEV_SD,"transport, passenger car, plugin gasoline hybrid, Medium, EURO-6ab",hfmytdq8k6552da5oudzyhmpjxu66ksi,1.0
CAR_PROPANE_ELD,"transport, passenger car, compressed gas, Medium, EURO-6ab",7n7macym3nn80q0ur3u527etgzc5q8vb,1.0
CAR_PROPANE_LD,"transport, passenger car, compressed gas, Medium, EURO-6ab",1qv1xeh1isnlh3lu1hq6noxgfim28yrx,1.0
CAR_PROPANE_MD,"transport, passenger car, compressed gas, Medium, EURO-6ab",3vndsh8hl6aihni7ik7psy58qh65uyok,1.0
CAR_PROPANE_SD,"transport, passenger car, compressed gas, Medium, EURO-6ab",pfvgbbxerybi1mxp7ve57qab45s08xbl,1.0
CCGT,"electricity production, at natural gas-fired combined cycle power plant",kyl6iuszdnriuzcyh2jrzfsdhm6r6127,1.0
CCGT_CC,"electricity production, at natural gas-fired combined cycle power plant, post, pipeline 200km, storage 1000m",tizdd9v2bz360mwx19lftv2akn3gkmbi,1.0
CEMENT_PROD,"cement production, CEM II/B",el6gmcuzsvjz78cm0qh5gvpy7132p74t,1.0
CEMENT_PROD_HP,"cement production, CEM II/B",l4n9kyx55g8e73vxu9qvy24nr2qwx6zl,1.0
CO2_METHANOL,"methanol production, natural gas reforming",2epubnlnhppwaz0ovs193zmssfvl7e0q,1.0
