Name,Type,Product,Activity,Location,Database,Current_code,New_code
GASIFICATION_H2,Operation,"hydrogen, gaseous, 25 bar","hydrogen production, gaseous, 25 bar, from heatpipe reformer gasification of woody biomass, at gasification plant",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,a96a6777175246b9a43761c5ba1de79e,o4tfp00nes6qz9o8wptzjiofypvurhii
GASIFICATION_H2_PLANT,Construction,synthetic gas factory,synthetic gas factory construction,RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,8c38be5b9d9f508c3269c8bf5361d826,x2f7f4d702p0359uxwx0lbyat5y30ceu
GASIFICATION_H2_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,c253abbfd26ff52d77501af73f5997c5,a1yl1hxvwwiyqniu2epicqdmkmazuzuk
GASIFICATION_SNG,Operation,"syngas, RWGS, Production","syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from wood gasification",CAN,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,e03a0a5eabe1402bb579bdece34d9c33,rrae59qxaf84fl1nmzcqemy1aqnb8qcb
GASIFICATION_SNG_PLANT,Construction,synthetic gas factory,synthetic gas factory construction,RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,8c38be5b9d9f508c3269c8bf5361d826,rduahuxvtcqn2isy74ej6dseo37e24v4
GASIFICATION_SNG_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics",GLO,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,c253abbfd26ff52d77501af73f5997c5,4jhqnmmqh1mrc65rif7bg1ykg4g0rgmh
GASO_STO,Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,4dafde2483b3ea9e99d1e6d13d211399,53husnccmc57m0kh6faluw96a32fdlot
GEOTHERMAL,Construction,"geothermal power plant, 5.5MWel",geothermal power plant construction,RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,00e6676198d149f3175930059be3f5c1,356m3iv8enezmrzzzhcn6femthmln9qx
GEOTHERMAL,Operation,"electricity, high voltage","electricity production, deep geothermal",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,5a5b939a66aea92d594a998860538a4a,lfzg77efet05ut8gsuasomlcabfgi6ip
H2_CCGT,Operation,"electricity, high voltage","electricity production, from hydrogen-fired one gigawatt gas turbine",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,7ddca5178a18412cb1deaadfd9f9fd3d,bncpeftblvgapjmquwalgtu5o4vlyrkt
H2_CCGT,Construction,"gas power plant, combined cycle, 400MW electrical","gas power plant construction, combined cycle, 400MW electrical",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,0acd8c7c75ed759ba06398c40f980c43,c3imn0vd8nc6evuynity1modaqn4lubb
H2_COMP_HE,Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure",CAN,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,299d139813904db4b21602d2143e903b,n36htz2ncpbw3b96fmzbf6iqcqepfqv6
H2_COMP_HE,Construction,"compressor, for hydrogen transmission",compressor assembly for transmission hydrogen pipeline,RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,3824341c07d44c1c8386985c03c17409,8ek45i4ga7gtishmlsg831sztb9w1apt
H2_COMP_LM,Construction,"compressor, for hydrogen transmission",compressor assembly for transmission hydrogen pipeline,RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,3824341c07d44c1c8386985c03c17409,kc4j4p59677sjbeg9hpd4gowtk2p9cd3
H2_COMP_LM,Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure",CAN,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,299d139813904db4b21602d2143e903b,z8movxzkf33v9gvkd2hg8rv7vaau6flv
H2_COMP_MH,Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure",CAN,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,299d139813904db4b21602d2143e903b,5j2vv5an6rx87vsrhejqqxfvsix5k5kz
H2_COMP_MH,Construction,"compressor, for hydrogen transmission",compressor assembly for transmission hydrogen pipeline,RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,3824341c07d44c1c8386985c03c17409,6mhs0hm3eet2p13stf5kw7d4soyzmitp
H2_EXP_EH,Operation,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure",CAN,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,299d139813904db4b21602d2143e903b,ca5cj8nc0naoaho079kzqq6xn596m268
H2_EXP_EH_COGEN,Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,b03a41f7870f60bee4ac8443c8ed64e8,aoz1o50ivfsidlxwcwgfy0f1fyy0lfp5
